id,FirstName,LastName,DateOfBirth,Country,CoachStatus,TeamId,Specialty
0f88ceaf-7b09-4558-a545-327a0c626026,Ysabel,Pretsel,21.09.1960,France,1,b824de3c-cacf-4489-84ca-b7801cba3db7,2
1d14bf47-de0a-4cd2-a329-81774699a43c,Gabriell,Baggalley,07.11.1979,Greece,1,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,0
629b7ee9-cfae-4ea3-8651-760870451d4b,Rubie,Rash,02.07.1955,Canada,2,6240b294-5b27-4d32-b593-d0d73d57bce7,1
766f1bc2-c358-4825-bd81-795f43366b40,Corrie,Boynton,08.11.1981,Portugal,2,3748229b-f545-4303-a4f0-bf39565f86f2,2
f6dadb7d-e2b1-4730-8e20-9b386eac42b3,Briney,Valasek,03.04.1965,China,2,710fbb15-7b65-40f3-99f6-a7e990cb4b53,0
96491c34-464b-49a7-a736-e8670008b6e3,Ian,Scahill,03.10.1970,Indonesia,2,5cf08038-6c03-4d00-99ce-15c927bb71c0,0
85ab4ea1-b245-470e-92f7-a265334f805d,Demetre,Whittock,03.09.1992,Japan,1,c8b20b59-51b1-4f8b-a3eb-26e207287184,0
4c41db5e-ecb7-466b-adf8-4736a52e5719,Janetta,Milkeham,28.03.1962,Croatia,1,05d02e85-9789-441d-b28f-689c6511cf7e,2
9b932bca-4a4a-4389-a6f0-c6426b23e5f2,Glori,Wharlton,25.11.1951,Indonesia,1,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,1
280b9a82-5be1-4f6e-9c85-b31bfd3afba5,Morgan,Killimister,22.08.1964,Russia,2,a621843d-fee4-4f59-82b2-62a0cf74549f,0
69aa4312-1c69-476e-884f-be80edba39ac,Timmie,Covolini,22.07.1993,Vietnam,1,26cc1c37-325f-473c-84cb-f3db7140369c,2
7c42d28e-bd3d-4f08-98db-a7b09fa44269,Kimberly,Killeen,05.08.1957,Brazil,2,52d36a44-a02a-4729-9ffc-9a1241623042,2
305ef626-74dc-4d2b-8242-315eb2307c90,Palm,Ashmore,03.05.1991,China,2,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,1
5434e859-6ea6-4618-aa48-baf45c89e9ac,Evan,Ingraham,11.11.1977,Indonesia,1,f74c7855-407a-4989-9079-1e0e98ed1232,0
1f3be83a-c2a5-449e-8a3c-82633b6e49e9,Harwell,Laughren,15.11.1957,Russia,2,815baa9d-02cc-49ae-bf3e-0e8958712efb,2
5eb51d09-be78-4e89-aa45-f02cef8bd253,Brier,Kubat,17.06.1952,China,1,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,2
b4a0c1a8-cbab-4c6f-952b-d32f07d26714,Odette,Casarini,24.10.1995,Mayotte,1,e089d826-6001-45ae-9c5f-0109c044c30b,1
ccc06d98-f01e-461a-9d96-45f49866d89e,Farrel,Dufaur,07.10.2000,Indonesia,2,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,0
41485eeb-6fa8-4223-a54f-42e7a0529e07,Margarethe,McCrohon,04.07.2002,China,2,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,0
89aab6b0-9e2c-4eb9-8ad3-2886e5278157,Simonette,Lorans,23.10.2001,Bangladesh,1,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,1
f06bcc21-b037-4def-a1c7-61c6e9d05c24,Yul,Ros,17.05.1951,Bangladesh,2,b824de3c-cacf-4489-84ca-b7801cba3db7,1
f967a333-017c-479c-9d63-b82d3986e1f5,Urbanus,Deverson,09.09.1970,Poland,2,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,1
31a18295-5155-49d1-beaf-15361f82006b,Kristyn,Petrichat,22.07.1999,Peru,1,6240b294-5b27-4d32-b593-d0d73d57bce7,0
8fce20fe-f4e7-4b36-b6e5-e55592b085d4,Whittaker,Trewhela,15.12.1993,Portugal,2,3748229b-f545-4303-a4f0-bf39565f86f2,2
56e11619-62a4-4fb1-99a2-4d550729b717,Becka,Isaaksohn,19.09.1968,China,1,710fbb15-7b65-40f3-99f6-a7e990cb4b53,2
57054347-7000-48bf-8b11-dbf4a05bb199,Helen,Mandres,24.08.1956,Malaysia,2,5cf08038-6c03-4d00-99ce-15c927bb71c0,0
ba4a45a1-6032-497b-a738-189a129d1c53,Babbie,Luno,06.08.1971,Indonesia,1,c8b20b59-51b1-4f8b-a3eb-26e207287184,2
493407c5-61be-4fe6-88c4-aa51701e079e,Willie,Green,01.12.1984,Croatia,2,05d02e85-9789-441d-b28f-689c6511cf7e,1
b764cc08-246d-46da-b033-8e36a0992305,Neysa,Kigelman,21.07.1984,Venezuela,2,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,2
8600c568-af38-4668-ac39-7e81b09874ef,Ashli,Crilley,14.12.1969,Czech Republic,1,a621843d-fee4-4f59-82b2-62a0cf74549f,0
eebc8d82-e258-4a76-9f83-ff72e24a519c,Tilly,Hannum,04.05.1991,Morocco,1,26cc1c37-325f-473c-84cb-f3db7140369c,0
56cbbb19-3847-44c5-834a-954a7526831d,Zola,Dible,17.08.1996,Indonesia,1,52d36a44-a02a-4729-9ffc-9a1241623042,0
de87fab6-be95-473e-a20b-d001466f7e7f,Marena,Hanne,14.12.1975,Indonesia,1,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,1
ef8f8c15-8274-434a-98e5-8515013cc513,Ezmeralda,Redwin,18.05.1987,Colombia,1,f74c7855-407a-4989-9079-1e0e98ed1232,1
662505a4-047a-4002-9c09-7ac1b470ac2b,Zorah,Ceresa,06.05.1965,Philippines,2,815baa9d-02cc-49ae-bf3e-0e8958712efb,2
eab2384a-4b34-4218-95e0-a5a2540818a7,Debbie,Knappen,22.05.1960,Ukraine,2,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,1
af1a473c-b3fc-4df4-acc7-86484c9c2031,Mallory,Feldbrin,18.02.1978,Belarus,1,e089d826-6001-45ae-9c5f-0109c044c30b,2
2162d123-05e3-49d6-8fba-41a61fd4ab59,Sybil,Crus,22.02.1989,China,1,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,0
2a0a160a-2e42-45a5-bb8d-84eb8e0c8880,Alexis,Simonnot,14.02.1957,China,2,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,0
f04c93b1-d50d-4c3e-ba56-ee823dc077b3,Jemmie,Byrom,14.05.1980,China,2,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,1
68855cbf-77eb-4baa-b28c-0779834030a4,Wynn,Colbeck,08.12.1965,Madagascar,1,b824de3c-cacf-4489-84ca-b7801cba3db7,0
