Id,FirstName,LastName,DateOfBirth,Country,Height,Weight,Position,JerseyNumber,TeamId,minimal_date_expereince
4f1cc411-73b8-4981-9332-d9b3f224dfca,Chloe,Schubuser,17.08.2003,Ethiopia,1.78,84.47,2,1,b824de3c-cacf-4489-84ca-b7801cba3db7,17.08.2011
79502e4e-9b31-4d0d-9559-188eea22d935,Ceil,Hostan,31.07.1991,United States,1.65,134.57,1,2,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,31.07.1999
27ae2e05-3369-49f9-bcfd-4c76a32a21a3,Vikky,Tredger,17.09.2004,Philippines,1.11,141.7,1,3,6240b294-5b27-4d32-b593-d0d73d57bce7,17.09.2012
caaad6b4-9e70-42e9-a8c0-cea0f490e16f,Selle,Walley,10.01.2006,Indonesia,1.21,187.18,1,4,3748229b-f545-4303-a4f0-bf39565f86f2,10.01.2014
1aef1436-2212-4c59-bce5-a396cd43f73d,Dom,Tansly,31.07.1998,China,1.55,197.17,1,5,710fbb15-7b65-40f3-99f6-a7e990cb4b53,31.07.2006
17fcef71-a074-4233-976a-ad8cc1ae02b2,Sherilyn,Cammis,23.01.2004,China,1.62,56.79,2,6,5cf08038-6c03-4d00-99ce-15c927bb71c0,23.01.2012
b550392d-1e31-4f50-8049-b61a569af15b,Isadore,Mountstephen,17.07.1997,China,1.13,67.9,1,7,c8b20b59-51b1-4f8b-a3eb-26e207287184,17.07.2005
54bc3f7b-f16d-4be3-8920-f7f6a51e8694,Colas,Got,21.07.1990,Uzbekistan,1.96,146.22,0,8,05d02e85-9789-441d-b28f-689c6511cf7e,21.07.1998
8cb7efdc-d2a7-4579-a022-529fa8e43e93,Pembroke,Carde,14.06.2005,China,1.46,186.25,2,9,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,14.06.2013
2b3cded0-ea6c-4b9a-a5b1-a3e3406bb385,Forrester,Moresby,21.02.1989,Canada,1.55,148.82,1,10,a621843d-fee4-4f59-82b2-62a0cf74549f,21.02.1997
a5901e6a-bb4d-42b2-a993-7f707fb30b6a,Adelina,Rambadt,23.08.1988,Sweden,1.14,137.43,0,11,26cc1c37-325f-473c-84cb-f3db7140369c,23.08.1996
198dceea-88f0-496b-a75f-30e3e698626b,Karl,Dopson,28.07.1990,Indonesia,1.75,51.1,0,12,52d36a44-a02a-4729-9ffc-9a1241623042,28.07.1998
a599fd55-0231-41b0-ba1c-6389a1e7db4b,Micaela,Ridett,01.04.2004,Indonesia,1.72,68.22,1,13,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,01.04.2012
cd5b8936-0188-48ab-b7ed-3a7d59ceae0b,Phyllis,Croix,29.07.1996,France,1.17,109.43,1,14,f74c7855-407a-4989-9079-1e0e98ed1232,29.07.2004
